название,ссылка
"Ребра свиные ""Слово мясника"", с корейки, охлажденные",https://dostavka.dixy.ru/catalog/myaso-ptitsa/svinina/318259/
"Ребра свиные ""Слово мясника"", охлажденные, 500 г",https://dostavka.dixy.ru/catalog/myaso-ptitsa/svinina/312809/
"Мясо СЛОВО МЯСНИКА По-французски, бескостное, категория Б,",https://lenta.com/product/myaso-po-francuzski-slovo-myasnika-bk-katb-ohl-rossiya-400g-671946/
"Лопатка свиная СЛОВО МЯСНИКА бескостная, 800г, Россия, 800 г",https://lenta.com/product/svinina-slovo-myasnika-lopatka-bk-ohl-rossiya-800g-472961/
"Окорок свиной СЛОВО МЯСНИКА бескостный, 800г, Россия, 800 г",https://lenta.com/product/svinina-slovo-myasnika-okorok-bk-ohl-rossiya-800g-472962/
"Шея свиная СЛОВО МЯСНИКА бескостная, 800г, Россия, 800 г",https://lenta.com/product/svinina-slovo-myasnika-sheya-bk-ohl-rossiya-800g-472960/
"Бекон СЛОВО МЯСНИКА Для завтрака, категория Г, 200г, Россия",https://lenta.com/product/bekon-slovo-myasnika-dlya-zavtraka-katg-ohl-rossiya-200g-604914/
"Гуляш СЛОВО МЯСНИКА Венгерский, бескостный, категория б, весовой, Россия",https://lenta.com/product/gulyash-slovo-myasnika-vengerskijj-bk-katb-ohl-ves-rossiya-671896/
"Поджарка СЛОВО МЯСНИКА По-домашнему, бескостная, категория Б, весовая, Россия",https://lenta.com/product/podzharka-slovo-myasnika-po-domashnemu-bk-katb-ohl-ves-rossiya-671957/
"Эскалоп из свинины СЛОВО МЯСНИКА Классический, категория А, 400г, Россия, 400 г",https://lenta.com/product/svinina-slovo-myasnika-eskalop-klassicheskijj-kat-a-ohl-rossiya-400g-532060/
"Гуляш из свинины СЛОВО МЯСНИКА категория А, 400г, Россия, 400 г",https://lenta.com/product/svinina-slovo-myasnika-gulyash-kat-a-ohl-rossiya-400g-532059/
"Рагу из свинины СЛОВО МЯСНИКА Экстра, категория В, 500г, Россия",https://lenta.com/product/svinina-slovo-myasnika-ragu-ekstra-kat-v-ohl-rossiya-500g-531927/
